rung,method,seed,checkpoint_path,n_samples,feat_dim,condition_number,fisher_ratio_HL,fisher_ratio_scalar,mardia_kurtosis_b,mardia_kurtosis_z
runA_grl,csg,42,/data2/hpcshared/Vinh/CSG-Skin/checkpoints/csg_lite/runA_grl_s42/best-38.ckpt,16211,16,82.28741532517053,658412.0593773798,5.476045422670281,645.8261920912876,236.54419220265703
runA_grl,csg,52,/data2/hpcshared/Vinh/CSG-Skin/checkpoints/csg_lite/runA_grl_s52/best-37.ckpt,16211,16,77.01965552444351,570080.5882843364,5.182022766196169,784.7377124351528,379.2553945064716
runA_grl,csg,62,/data2/hpcshared/Vinh/CSG-Skin/checkpoints/csg_lite/runA_grl_s62/best-34.ckpt,16211,16,69.54159712258837,545144.3330530172,4.637980044358664,741.9330462820751,316.9990665610992
runA_grl,csg,72,/data2/hpcshared/Vinh/CSG-Skin/checkpoints/csg_lite/runA_grl_s72/best-35.ckpt,16211,16,65.48442920026973,482159.4136990673,4.325431985864894,856.7243996956627,490.33276403032
runA_grl,csg,82,/data2/hpcshared/Vinh/CSG-Skin/checkpoints/csg_lite/runA_grl_s82/best-23.ckpt,16211,16,83.16041371738197,450576.01061641064,3.8529062911049463,669.5537323102741,281.6356721711578
runB_orth1,csg,42,/data2/hpcshared/Vinh/CSG-Skin/checkpoints/csg_lite/runB_orth1_s42/best-36.ckpt,16211,16,739.2238372958168,640373.8437140556,5.445331038287049,752.1006246345669,345.01315651317657
runB_orth1,csg,52,/data2/hpcshared/Vinh/CSG-Skin/checkpoints/csg_lite/runB_orth1_s52/best-32.ckpt,16211,16,491.5025446062358,578801.3285873368,5.157068761218919,592.6385188994842,204.5042183871941
runB_orth1,csg,62,/data2/hpcshared/Vinh/CSG-Skin/checkpoints/csg_lite/runB_orth1_s62/best-34.ckpt,16211,16,399.8590369707029,535416.7279435131,4.611387954889521,602.4773629573582,191.45579343517664
runB_orth1,csg,72,/data2/hpcshared/Vinh/CSG-Skin/checkpoints/csg_lite/runB_orth1_s72/best-35.ckpt,16211,16,580.8090786342818,536182.56077411,4.594680362805435,807.2660194713704,420.6593735580057
runB_orth1,csg,82,/data2/hpcshared/Vinh/CSG-Skin/checkpoints/csg_lite/runB_orth1_s82/best-37.ckpt,16211,16,587.6208133826314,562118.9149361793,4.865611820369582,1182.9101427725266,822.0778303861327
runB,csg,42,/data2/hpcshared/Vinh/CSG-Skin/checkpoints/csg_lite/runB_s42/best-39.ckpt,16211,16,12719.598786582745,682433.1989214737,5.740325840578894,668.5188075243543,267.2368022517912
runB,csg,52,/data2/hpcshared/Vinh/CSG-Skin/checkpoints/csg_lite/runB_s52/best-28.ckpt,16211,16,4711.104950625911,584691.1290530674,5.297761117111376,674.9230996709053,269.9120545320072
runB,csg,62,/data2/hpcshared/Vinh/CSG-Skin/checkpoints/csg_lite/runB_s62/best-39.ckpt,16211,16,5905.784288948279,566352.5045591911,4.982763698637253,692.2261763958858,277.1468429937979
runB,csg,72,/data2/hpcshared/Vinh-/CSG-Skin-train/checkpoints/csg_lite/runB_s72/best-35.ckpt,16211,16,10313.07267442126,517411.11277021177,4.633350521415939,954.562283901034,588.2161154091496
runB,csg,82,/data2/hpcshared/Vinh-/CSG-Skin-train/checkpoints/csg_lite/runB_s82/best-34.ckpt,16211,16,6681.325159714219,573397.6623177159,4.98802605684704,837.9565789277937,430.3584177519769
