rung,method,seed,checkpoint_path,n_samples,feat_dim,condition_number,fisher_ratio_HL,fisher_ratio_scalar,mardia_kurtosis_b,mardia_kurtosis_z
runA_grl,csg,42,../checkpoints/csg_lite/runA_grl_s42/best-38.ckpt,16211,16,82.30479762989808,658226.8385636387,5.4739224427634605,645.1454644282559,235.8834366614416
runA_grl,csg,52,../checkpoints/csg_lite/runA_grl_s52/best-37.ckpt,16211,16,77.0591436630866,570013.0595424026,5.181184778738608,783.985679947634,378.45941928297606
runA_grl,csg,62,../checkpoints/csg_lite/runA_grl_s62/best-34.ckpt,16211,16,69.54246266854746,545109.0017754742,4.637723263177985,741.6836206132078,316.7770194715432
runA_grl,csg,72,../checkpoints/csg_lite/runA_grl_s72/best-35.ckpt,16211,16,65.47909531434122,482130.31278582755,4.325407335491941,858.5832298901071,492.34935931485927
runA_grl,csg,82,../checkpoints/csg_lite/runA_grl_s82/best-23.ckpt,16211,16,83.14404301893518,450637.678653651,3.8529818857163534,669.9006709059232,281.96715090620506
runB_orth1,csg,42,../checkpoints/csg_lite/runB_orth1_s42/best-36.ckpt,16211,16,738.7977263471436,640848.4757490181,5.448772396612105,752.4496846441169,345.36418489173525
runB_orth1,csg,52,../checkpoints/csg_lite/runB_orth1_s52/best-32.ckpt,16211,16,491.6731957044104,578668.4030254915,5.156084686317137,592.3440622219731,204.18918574738473
runB_orth1,csg,62,../checkpoints/csg_lite/runB_orth1_s62/best-34.ckpt,16211,16,399.97904878568454,535639.7485427068,4.613154091343777,602.3538343170151,191.30588323472867
runB_orth1,csg,72,../checkpoints/csg_lite/runB_orth1_s72/best-35.ckpt,16211,16,580.7801423506188,536097.9706951745,4.5938216528889555,807.5487138412703,420.94371728327565
runB_orth1,csg,82,../checkpoints/csg_lite/runB_orth1_s82/best-37.ckpt,16211,16,587.5237448467299,562335.5306862957,4.867757179480226,1185.2231014466138,824.5250146989518
runB,csg,42,../checkpoints/csg_lite/runB_s42/best-31.ckpt,16211,16,8256.759864768967,598477.6959432195,5.013599504375355,618.520721951866,217.46476402314437
runB,csg,52,../checkpoints/csg_lite/runB_s52/best-28.ckpt,16211,16,4712.623581100156,584533.9403763686,5.29606978087952,675.3872170347597,270.4233962333022
runB,csg,62,../checkpoints/csg_lite/runB_s62/best-28.ckpt,16211,16,3020.328442432272,505884.21345921635,4.542019610752214,745.7707366343859,324.24167633213347
